metric,role,variant_id,units,value,source_field_id,source_label,excel_row
heat_demand,result,code_min,kWh,19170.7311062,certification_results.heat_demand,Heat Demand,459
heat_demand,limit,code_min,kWh,7337.265785,certification_limits.heat_demand_limit,Heat Demand Limit,363
sensible_cooling_demand,result,code_min,kWh,3135.76039271,certification_results.sensible_cooling_demand,Sensible Cooling Demand,460
sensible_cooling_demand,limit,code_min,kWh,5502.94933875,certification_limits.sensible_cooling_demand_limit,Sensible Cooling Demand Limit,364
latent_cooling_demand,result,code_min,kWh,635.404713018,certification_results.latent_cooling_demand,Latent Cooling Demand,461
latent_cooling_demand,limit,code_min,kWh,366.86328925,certification_limits.latent_cooling_demand_limit,Latent Cooling Demand Limit,365
total_cooling_demand,result,code_min,kWh,3771.16510571,certification_results.total_cooling_demand,Total Cooling Demand,462
total_cooling_demand,limit,code_min,kWh,5869.812628,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,code_min,W,13108.5998078,certification_results.peak_heat_load,Peak Heat Load,463
peak_heat_load,limit,code_min,W,0,certification_limits.peak_heat_load_limit,Peak Heat Load Limit,367
peak_cooling_load,result,code_min,W,5280.23188199,certification_results.peak_cooling_load,Peak Cooling Load,464
peak_cooling_load,limit,code_min,W,3240.45035646,certification_limits.peak_cooling_load_limit,Peak Cooling Load Limit,368
pe_demand,result,code_min,kWh,51154.697914,certification_results.pe_demand,PE Demand,465
pe_demand,limit,code_min,kWh,0,certification_limits.pe_limit,PE Limit,369
per_demand,result,code_min,kWh,24414.44095,certification_results.per_demand,PER Demand,466
per_demand,limit,code_min,kWh,42556.141553,certification_limits.per_limit,PER Limit,370
phius_net_source_energy,limit,code_min,kWh,11189.006448,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
heat_demand,result,ph_assemblies,kWh,14057.5529905,certification_results.heat_demand,Heat Demand,459
heat_demand,limit,ph_assemblies,kWh,7337.265785,certification_limits.heat_demand_limit,Heat Demand Limit,363
sensible_cooling_demand,result,ph_assemblies,kWh,3465.91072975,certification_results.sensible_cooling_demand,Sensible Cooling Demand,460
sensible_cooling_demand,limit,ph_assemblies,kWh,5502.94933875,certification_limits.sensible_cooling_demand_limit,Sensible Cooling Demand Limit,364
latent_cooling_demand,result,ph_assemblies,kWh,635.404713018,certification_results.latent_cooling_demand,Latent Cooling Demand,461
latent_cooling_demand,limit,ph_assemblies,kWh,366.86328925,certification_limits.latent_cooling_demand_limit,Latent Cooling Demand Limit,365
total_cooling_demand,result,ph_assemblies,kWh,4101.31544276,certification_results.total_cooling_demand,Total Cooling Demand,462
total_cooling_demand,limit,ph_assemblies,kWh,5869.812628,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,ph_assemblies,W,11133.5471428,certification_results.peak_heat_load,Peak Heat Load,463
